id,name,active,code_tipocorte,description
1,CQ04,true,CQ04,
2,C04,true,C04,
3,RSB,true,RSB,
4,C06,true,C06,
5,C05,true,C05,
6,R,true,R,
7,GC,true,GC,
8,CQ02,true,CQ02,
9,C01,true,C01,
10,RS,true,RS,
11,C11,true,C11,
12,C15,true,C15,
13,GCRS,true,GCRS,
14,C01S,true,C01S,
15,C03,true,C03,
16,CQ01,true,CQ01,
17,C07,true,C07,
18,C02,true,C02,
19,C0Q1,true,C0Q1,
20,CQ06,true,CQ06,
21,C010,true,C010,
22,C01SB,true,C01SB,
23,C17,true,C17,
24,CQ09,true,CQ09,
25,C09,true,C09,
26,CQ11,true,CQ11,
27,CQ05,true,CQ05,
28,C08,true,C08,
29,C13,true,C13,
30,FS,true,FS,
31,CQ07,true,CQ07,
32,C12,true,C12,
33,GCR   ,true,GCR   ,
